Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Pair
2023-11-17 02:45:00,36490.90,36494.90,36402.90,36467.90,3018.130,2023-11-17 02:59:59.999,110023397.27651,29500,1076.362,39241780.88060,0,BTCUSDT
2023-11-17 03:00:00,36467.90,36481.70,36366.40,36369.50,2126.263,2023-11-17 03:14:59.999,77423413.70074,24917,720.899,26251424.40480,0,BTCUSDT
2023-11-17 03:15:00,36369.50,36429.80,36322.30,36415.10,1970.941,2023-11-17 03:29:59.999,71679482.90919,25138,989.369,35988266.44000,0,BTCUSDT
2023-11-17 03:30:00,36415,36486.70,36359.50,36482.70,1823.188,2023-11-17 03:44:59.999,66431561.34601,21233,1069.061,38955095.59531,0,BTCUSDT
2023-11-17 03:45:00,36482.70,36517,36464.80,36496,1293.833,2023-11-17 03:59:59.999,47211687.54350,18150,585.585,21369586.71170,0,BTCUSDT
2023-11-17 04:00:00,36495.90,36528.80,36385.20,36410.70,1737.330,2023-11-17 04:14:59.999,63332779.88880,22364,707.695,25798628.79570,0,BTCUSDT
2023-11-17 04:15:00,36410.60,36464.60,36381,36450,1325.131,2023-11-17 04:29:59.999,48258833.47830,19593,700.048,25496340.20110,0,BTCUSDT
2023-11-17 04:30:00,36449.90,36537.10,36401.50,36491.40,1685.925,2023-11-17 04:44:59.999,61513271.36450,20865,814.450,29716778.72250,0,BTCUSDT
2023-11-17 04:45:00,36491.30,36528,36432.80,36446.90,1164.032,2023-11-17 04:59:59.999,42454713.61760,18374,522.697,19064719.42810,0,BTCUSDT
2023-11-17 05:00:00,36446.90,36450,36320.40,36332.90,2186.494,2023-11-17 05:14:59.999,79545441.13255,26560,726.839,26442077.37940,0,BTCUSDT
2023-11-17 05:15:00,36333,36420,36143.80,36330.30,6242.514,2023-11-17 05:29:59.999,226641965.22309,57240,2883.559,104722809.09715,0,BTCUSDT
2023-11-17 05:30:00,36330.30,36333.50,36270,36295.90,1899.543,2023-11-17 05:44:59.999,68956025.33380,27476,872.420,31670479.91760,0,BTCUSDT
2023-11-17 05:45:00,36295.90,36373.10,36283,36373.10,1167.581,2023-11-17 05:59:59.999,42416987.58800,20288,677.906,24628885.19860,0,BTCUSDT
2023-11-17 06:00:00,36373.10,36388,36284,36352.50,1499.511,2023-11-17 06:14:59.999,54471804.25600,20539,716.930,26046674.57420,0,BTCUSDT
2023-11-17 06:15:00,36352.60,36439.60,36341.30,36401.40,1693.812,2023-11-17 06:29:59.999,61658334.22826,20843,862.174,31384781.76626,0,BTCUSDT
2023-11-17 06:30:00,36401.40,36465.40,36401.40,36437.40,1417.770,2023-11-17 06:44:59.999,51664082.64841,19487,705.265,25701975.04411,0,BTCUSDT
2023-11-17 06:45:00,36437.50,36442,36350,36363.30,1521.187,2023-11-17 06:59:59.999,55375165.32115,17895,600.625,21865240.11510,0,BTCUSDT
2023-11-17 07:00:00,36363.30,36371.10,36286.40,36294.10,1896.345,2023-11-17 07:14:59.999,68876308.43910,22060,737.217,26775547.77600,0,BTCUSDT
2023-11-17 07:15:00,36294,36344.50,36246,36271.70,2144.033,2023-11-17 07:29:59.999,77795104.56236,24995,999.328,36260815.24720,0,BTCUSDT
2023-11-17 07:30:00,36271.80,36316,36239.20,36283.80,1539.987,2023-11-17 07:44:59.999,55865152.58340,20854,951.541,34522993.83690,0,BTCUSDT
2023-11-17 07:45:00,36283.80,36317.50,36217,36252,2182.782,2023-11-17 07:59:59.999,79143122.95520,23977,1198.399,43458795.01670,0,BTCUSDT
2023-11-17 08:00:00,36251.90,36343.30,36200.20,36200.20,2352.600,2023-11-17 08:14:59.999,85363196.41830,22588,1166.931,42346824.31920,0,BTCUSDT
2023-11-17 08:15:00,36200.20,36410.60,36172,36399.60,4300.950,2023-11-17 08:29:59.999,156061432.93223,41790,2719.399,98683131.59949,0,BTCUSDT
2023-11-17 08:30:00,36399.60,36444,36362,36366.20,2434.147,2023-11-17 08:44:59.999,88620887.59550,30333,1035.177,37689716.37920,0,BTCUSDT
2023-11-17 08:45:00,36366.20,36454,36352.60,36414.20,1633.354,2023-11-17 08:59:59.999,59463098.04071,22354,812.103,29565341.24081,0,BTCUSDT
2023-11-17 09:00:00,36414.30,36449.70,36378.90,36409.20,1460.206,2023-11-17 09:14:59.999,53170794.57700,19769,746.271,27174620.54420,0,BTCUSDT
2023-11-17 09:15:00,36409.20,36463.70,36355.50,36368,1299.925,2023-11-17 09:29:59.999,47334867.15600,18034,604.256,22005676.94670,0,BTCUSDT
2023-11-17 09:30:00,36368,36380,36262,36310,2125.306,2023-11-17 09:44:59.999,77169723.95035,29744,885.366,32144719.77650,0,BTCUSDT
2023-11-17 09:45:00,36309.90,36363,36293.20,36327.10,1749.567,2023-11-17 09:59:59.999,63555739.24560,21768,837.688,30429321.95050,0,BTCUSDT
2023-11-17 10:00:00,36327,36339.20,36209,36213.30,2866.920,2023-11-17 10:14:59.999,103954592.01276,31207,1183.557,42911369.15960,0,BTCUSDT
2023-11-17 10:15:00,36213.40,36277.60,36129.40,36214.90,5182.317,2023-11-17 10:29:59.999,187610577.18998,48931,2728.075,98777683.78020,0,BTCUSDT
2023-11-17 10:30:00,36215,36312.20,36215,36240.10,2295.217,2023-11-17 10:44:59.999,83229371.87526,28381,1198.639,43464452.61286,0,BTCUSDT
2023-11-17 10:45:00,36240.10,36385,36177.80,36374.30,3726.273,2023-11-17 10:59:59.999,135231250.62995,41100,2033.220,73804367.27015,0,BTCUSDT
2023-11-17 11:00:00,36374.40,36404.20,36325.80,36388.50,2353.145,2023-11-17 11:14:59.999,85596163.10754,27856,1131.151,41152211.36604,0,BTCUSDT
2023-11-17 11:15:00,36388.50,36459.30,36335,36452.70,2827.583,2023-11-17 11:29:59.999,102957490.73777,29100,1712.457,62357468.94127,0,BTCUSDT
2023-11-17 11:30:00,36452.80,36480.50,36396.30,36444.90,2718.968,2023-11-17 11:44:59.999,99090994.32790,29754,1077.710,39281575.49140,0,BTCUSDT
2023-11-17 11:45:00,36444.90,36450.10,36355.30,36383.80,1600.156,2023-11-17 11:59:59.999,58237670.55950,22372,600.359,21850109.78930,0,BTCUSDT
2023-11-17 12:00:00,36383.90,36409.10,36329.90,36340.50,1577.310,2023-11-17 12:14:59.999,57358618.23965,21651,667.683,24281359.84430,0,BTCUSDT
2023-11-17 12:15:00,36340.50,36403.40,36262,36374.50,3427.524,2023-11-17 12:29:59.999,124460978.13710,38901,1786.288,64869950.28590,0,BTCUSDT
2023-11-17 12:30:00,36374.40,36439.80,36312,36403,2501.165,2023-11-17 12:44:59.999,91030442.60140,29992,1227.949,44693569.44430,0,BTCUSDT
2023-11-17 12:45:00,36403.10,36546.80,36395.60,36540.80,3293.984,2023-11-17 12:59:59.999,120158189.56941,36544,2075.429,75711782.05251,0,BTCUSDT
2023-11-17 13:00:00,36540.90,36636.70,36467.70,36605.10,7368.884,2023-11-17 13:14:59.999,269487371.59057,70569,4071.159,148906065.09707,0,BTCUSDT
2023-11-17 13:15:00,36605.10,36605.10,36463.80,36468.30,3067.534,2023-11-17 13:29:59.999,112078862.22220,33910,1391.131,50836547.15650,0,BTCUSDT
2023-11-17 13:30:00,36468.30,36516.70,36400.30,36418.20,3820.326,2023-11-17 13:44:59.999,139258146.69401,37112,1745.058,63618748.88030,0,BTCUSDT
2023-11-17 13:45:00,36418.20,36418.20,36280,36352.50,4155.595,2023-11-17 13:59:59.999,151042015.54923,45746,1890.787,68722741.14340,0,BTCUSDT
2023-11-17 14:00:00,36352.50,36448,36290,36324.60,2915.509,2023-11-17 14:14:59.999,106006138.28870,35103,1292.995,47018857.75080,0,BTCUSDT
2023-11-17 14:15:00,36324.60,36384,36278,36332.90,3108.547,2023-11-17 14:29:59.999,112937634.38990,34154,1567.517,56956840.66640,0,BTCUSDT
2023-11-17 14:30:00,36332.90,36381.50,36174.60,36193.90,5049.495,2023-11-17 14:44:59.999,183062786.58370,51322,2150.191,77964873.60780,0,BTCUSDT
2023-11-17 14:45:00,36193.90,36220.60,35868.30,36030.30,19220.376,2023-11-17 14:59:59.999,692332660.75474,156220,8518.333,306823644.00600,0,BTCUSDT
2023-11-17 15:00:00,36030.30,36154.20,35945.20,36138,6904.476,2023-11-17 15:14:59.999,249056655.37849,71099,3322.118,119846902.06358,0,BTCUSDT
2023-11-17 15:15:00,36138,36186.20,35980.90,36064.90,4607.497,2023-11-17 15:29:59.999,166253541.72913,54627,2134.883,77051225.13434,0,BTCUSDT
2023-11-17 15:30:00,36065,36140,35970.40,35990.10,6061.015,2023-11-17 15:44:59.999,218486304.38500,60473,2950.320,106368323.05440,0,BTCUSDT
2023-11-17 15:45:00,35990,36083.90,35960,36059,5086.376,2023-11-17 15:59:59.999,183226870.39530,55003,2650.607,95495338.30220,0,BTCUSDT
2023-11-17 16:00:00,36059.10,36228.30,36000.40,36157.10,7444.077,2023-11-17 16:14:59.999,268960351.39251,69343,3932.780,142089428.66592,0,BTCUSDT
2023-11-17 16:15:00,36157,36183,36101.70,36118.20,2402.431,2023-11-17 16:29:59.999,86817186.35620,29497,1137.237,41100516.39710,0,BTCUSDT
2023-11-17 16:30:00,36118.20,36123,35917.10,35993.80,6028.217,2023-11-17 16:44:59.999,216959277.22148,61647,2742.509,98702454.08800,0,BTCUSDT
2023-11-17 16:45:00,35993.80,36056.50,35965.10,35995.10,2043.672,2023-11-17 16:59:59.999,73593830.38269,27847,1020.634,36754746.19909,0,BTCUSDT
2023-11-17 17:00:00,35995,37020.50,35969.70,36379.50,35833.062,2023-11-17 17:14:59.999,1308164657.80084,273273,19715.701,719711688.32708,0,BTCUSDT
2023-11-17 17:15:00,36379.50,36508.90,36280,36381.50,8070.021,2023-11-17 17:29:59.999,293593495.53666,83365,3985.874,145036126.48441,0,BTCUSDT
2023-11-17 17:30:00,36381.50,36550,36260.40,36527,5534.004,2023-11-17 17:44:59.999,201504162.37151,58230,3157.434,115007052.41771,0,BTCUSDT
2023-11-17 17:45:00,36527,36555,36423.80,36516.30,4028.010,2023-11-17 17:59:59.999,147023171.14363,47438,1862.826,68002412.72423,0,BTCUSDT
2023-11-17 18:00:00,36516.20,36558.80,36393.10,36526.60,4102.057,2023-11-17 18:14:59.999,149616080.83695,44753,2016.313,73549417.05353,0,BTCUSDT
2023-11-17 18:15:00,36526.60,36528,36355.70,36433.50,2461.431,2023-11-17 18:29:59.999,89647427.48210,29166,895.443,32612322.69110,0,BTCUSDT
2023-11-17 18:30:00,36433.40,36493.20,36396,36428.30,1474.662,2023-11-17 18:44:59.999,53757987.01080,22418,790.767,28827991.19730,0,BTCUSDT
2023-11-17 18:45:00,36428.20,36500,36400,36486,1561.516,2023-11-17 18:59:59.999,56921125.25010,20819,864.062,31497845.71100,0,BTCUSDT
2023-11-17 19:00:00,36486,36539.80,36433.80,36527.10,2425.400,2023-11-17 19:14:59.999,88504585.98610,24801,1215.102,44350027.80610,0,BTCUSDT
2023-11-17 19:15:00,36527.10,36600,36398.60,36415.80,3806.824,2023-11-17 19:29:59.999,138896200.73644,38421,1671.875,61009259.95893,0,BTCUSDT
2023-11-17 19:30:00,36415.80,36460,36326,36354.10,2151.109,2023-11-17 19:44:59.999,78269138.02965,26737,890.522,32409868.19660,0,BTCUSDT
2023-11-17 19:45:00,36354.10,36364.70,36250.10,36336.20,3367.489,2023-11-17 19:59:59.999,122286317.57451,34166,1667.860,60574078.18945,0,BTCUSDT
2023-11-17 20:00:00,36336.30,36497.90,36320.30,36484,2423.272,2023-11-17 20:14:59.999,88291439.09561,32297,1438.914,52424252.54441,0,BTCUSDT
2023-11-17 20:15:00,36483.90,36497.10,36427.50,36429.40,1454.344,2023-11-17 20:29:59.999,53024704.06560,22163,613.464,22368528.54920,0,BTCUSDT
2023-11-17 20:30:00,36429.40,36431,36335.30,36341.80,1618.030,2023-11-17 20:44:59.999,58854682.96785,20481,745.401,27113396.06610,0,BTCUSDT
